#	number
#	pound
(F)	final
STP	standard temperature and pressure(in pulmonary function test reports)
STS	serological test for syphilis(laboratory/serology)
STS	standard test for syphilis(laboratory/serolgy)
STSG	split thickness skin graft
STU	skin test unit
STVA	subtotal villous atrophy
SUA	serum uric acid(laboratory/chemistry)
SUA	single umbilical artery
SUD	sudden unexpeted(unexplained) death
SUDS	sudden unexplained death syndrome
SUID	sudden unexplained infant death
SUN	serum urea nitrogen(laboratory/chemistry)
SURT	sarcoidosis of upper respiratory tract
SV	selective vagotomy
SV	semilunar valve
SV	seminal vesicle
SV	sinus venosus
SV	snake venom
SV	stroke volume
SV	subclavian vein
SV	supraventricular
SVAS	supravalvular aortic stenosis
SVB	supraventricular beats
SVC	selective venous catheterization
SVC	slow vital capacity
SVC	superior vena cava
SVCG	spatial vectorcardiogram(procedure/cardiology)
SVD	spontaneous vaginal delivery
SVD	spontaneous vertex delivery
SVEB	supraventricular ectopic beat
SVG	saphenous vein graft(operation/coronary bypass)
SVI	stroke volume index
SVM	syncytiovascular membrane
SVP	selective vagotomey with pyloroplasty
SVP	spontaneous venous pulse
SVPB	supraventricular premature beats
SVR	systemic vascular resistance
SVT	sinoventricular tachyarrhythmia
SVT	subclavin vein thrombosis
SVT	supraventricular tachycardia
SW	social worker
SW	spinal wound
SW	stab wound
SW	stroke work
SWD	short wave diathermy
Sal	salmonella(on bacteriology reports)
Sal	salicylate
Sal	saline
ScDA	right scapulo-anterior(fetal position)[L.scapulodextra anterior]
Sesquih	L. sesquihora(an hour and a half)
Sf	spinal fluid
Si	silicon
Si non v	L. si non valeat(if it is not enough)
Si op si	L. si opus sit(if it is necessary)
Sig	surface immunoglobulin
Signpro	L. signa nomine proprio(label with the proper name)
Strab	strabismus(eye examination)
Surg	surgery(surgical or surgeon)
Sx	signs
Sx	symptoms
Sz	schizophrenia
Sz	seizure
T	tablespoonful
T	taenia
T	temperature
T	temporary
T	terminal(congenital absence of limb)
T	testis
T	testis both down
T	thoracic
T	thrombus
T	thymus
T	tidal volume
T	tight
T	time
T	tissue
T	tocopherol
T	torque
T	transmittance
T	Treponema
T	Trichophyton
T	tritium
T	Trypanosoma
T	tuberculin
T	tuberculosis
T	tumor
T	Treponema(on bacteriology reports)
T	Trichophyton(on bacteriology reports)
T	Trypanosoma(on bacteriology reports)
T bili	total bilirubin
T cell	thymus-derived cell
T&A	tonsils and adenoid hypertrophy
T&A	tonsillectomy and adenoidectomy(operation/nose and throat)
T&C	type and crossmatch(laboratory / blood bank)
T&E	trial and error
T&EC	trauma and emergency center
T&X	type ahd crossmatch(laboratory / blood bank)
T(A)	temperature, axillary(on temperature charts)
T(O)	temperature, oral(on temperature records)
T(R)	temperature, rectal(on temperature records)
T+	increased intraocular tension
T+1 T+2	stages of increased intraocular tension(eye examination)
T-	decreased intraocular tension
T-1 T-2	stages of decreased intraocular tension(eye examination)
T-E fist	tracheal esophageal fistula
T-sect	transverse(cross) section
T-set	tracheotomy set
T-spine	thoracic spine
T/D	treatment discontinued
T1	longitudinal relaxation time
T1	tricuspid first heart sound
T1	tricuspid valve closure
T1 T2	first thoracic vertebra, second thoracic vertebra
T2	transverse relaxation time
T2	tricuspid second heart sound
T3	triiodothyronine
T3RU	triiodothyronine resin uptake(laboratory/endocrinology)
T3SU	triiodothyronine serum uptake
T3uptake	triiodothyronine uptake(laboratory/endocrpinology)
T4	total thyroxine(laboratory/endocrinology)
TA	alkaline tuberculin
TA	therapeutic abortion(operation/gynecology)
TA	titratable acid
TA	toxin-antitoxin
TA	traffic accident
TA	tricuspid annuloplasty
TA	tricuspid atresia
TA	tube agglutination
TAA	total ankle arthroplasty
TAA	tumor-associated antigen
TAB vacc	typhoid-paratyphoid A and B vaccine
TAC	total abdominal colectomy
TAC	triamcinolone cream
TAD	thoracic asphyxiant dystrophy
TAD	transient acantholytic dermatosis
TADAC	therapeutic abortion, dilation, aspiration, and curettage
TAE	trans antral ethmoidectomy
TAF	albumose-free tuberculin
TAF	toxoid-antitoxin floccules
TAF	tumor angiogenic factor
TAH	total abdominal hysterectomy(operation/gynecology)
TAH	total artificial heart
TAH	transabdominal hysterectomy
TAL	tendon achilles lengthening
TAL	thymic alymphoplasia
TAM	toxoid-antitoxin mixture
TAO	thromboangitis obliterans
TAPVD	total anomalous pulmonary venous drainage
TAPVR	total anomalous pulmonary venous connection return
TAR	thrombocytopenia-absent radius(syndrome)
TARA	tumor-associated rejection antigen
TAT	tetanus antitoxin(medication order)
TAT	thematic apperception test
TAT	thromboplastin activation test
TAT	toxin-antitoxin
TAT	turn around time
TATA	transanal abdominal
TAVB	total atrioventricular block
TAl	L. tails(such a one)
TB	terminal bronchiole
TB	toluidine blue
TB	total base
TB	total body
TB	tracheobronchitis
TB	tubercle bacillus
TB	tuberculosis
TB-Rd	tuberculosis-respiratory disease
TBA	testosterone-binding affinity
TBB	transbronchial biopsy(procedure/thoracic surgery)
TBD	total body density
TBE	total breech extraction
TBE	tuberculin bacillin emulsion
TBF	total body fat
TBG	thyroxine-binding globulin
TBH	total body hematocrit
TBI	thyroxine-binding index
TBI	total body involved
TBI	total body irradiation
TBI	traumatic brain injury
TBII	TSH-binding inhibitory immunoglobulin
TBK	total body potassium
TBLB	transbronchial lung biopsy
TBLC	term birth, living child
TBLN	tracheobronchial lymph node
TBM	tuberculous meningitis
TBM	tubular basement membrane
TBNA	transbronchial needle aspiration
TBNA	treated but not admitted
TBP	thyroxine-binding protein
TBP	tuberculous peritonitis
TBPA	thyroxine-binding prealbumin
TBS	total body solute
TBS	triethanolamine-buffered saline
TBSA	total body surface area
TBT	tolbutamide test
TBT	tracheobronchial toilet
TBV	total blood volume
TBV	transluminal balloon valvuloplasty
TBW	total body water
TBW	total body weight
TBX	total body irradiation
TC	thermal conductivity
TC	throat culture
TC	tissue culture
TC	total capacity(lung) (pulmonary function test)
TC	total cholesterol
TC	temperature compensation
TC & DB	turn, cough and deep breathe
TCA	terminal cancer
TCA	transluminal coronary angioplasty
TCA	tricyclic antidepressant(medication orders/prescriptions)
TCABG	triple coronary artery bypass graft(operation / hear)
TCB	total cardiopulmonary bypass
TCC	transitional cell carcinoma
TCD50	median tissue culture dose
TCF	totl coronary flow
TCG	time compensation gain
TCH	total circulating hemoglobin
TCI	transient cerebral ischemia
TCI	transmural colitis ischemia
TCID	tissue culture infective dose
TCID50	median tissue culture infective dose
TCIE	transient cerebral ischemic episode
TCM	tissue culture media
TCMA	transcortical motor aphasia
TCMI	T cell-mediated immunity
TCNM	Tumor with node metastasis
TCNS	transcutaneous nerve stimulator
TCO	total contact orthosis
TCO	transcutaneous oximetry
TCR	T cell antigen receptor
TCT	thrombin clotting time
TCVA	thromboembolic cerebral vascular accident
TD	tardive dyskinesia
TD	tetanus-diphtheria toxoid(pediatric use)
TD	thoracic duct
TD	threshold of discomfort
TD	thymus-dependent
TD	to deliver
TD	torsion dystonia
TD	total disability
TD	transverse diameter(of heart)
TD50	median toxic dose
TDA	TSH-displacing antibody
TDC	twisted drill craniostomy
TDF	thoracic duct fistula
TDF	thoracic duct flow
TDI	total-dose infusion
TDL	thoracic duct lymph
TDM	therapeutic drug monitoring
TDP	thoracic duct pressure
TDS	total dissolved solids
TDS	transduodenal sphinecteroplasty
TDT	tumor doubling time
TE	tracheoesophageal
TE	expiratory phase time(pulmonary function test)
TE	threshold energy
TE	tissue-equivalent
TE	total estrogen(excretion)
TEA	total error goal
TEA	temporal external artery
TEA	thromboendarterectomy
TED	threshold erythema dose
TED	thromboembolic disease
TEDD	total end-diastolic diameter
TEE	transesophageal echocardiography
TEG	thromboelastogram
TEM	transmission electron microscope
TEN	toxic epidermonecrolysis
TEN	toxic erythema necrolysis
TENS	transcutaneous eletrical nerve stimulation
TEP	thromboendophlebectomy
TEP	tracheoesophageal puncture
TEP	tubal ectopic pregnancy
TER	total elbow replacement
TER	total endoplasmic reticulum
TES	toxic epidemic syndrome
TES	transcutaneous electrical stimulation
TES	transmural electrical stimulation
TESD	total end-systolic diameter
TET	treadmill exercise test
TEV	talipes equinovarus
TF	tactile fremitus
TF	tetralogy of Fallot
TF	thymol flocculation(laboratory / chemistry)
TF	tissue-damaging factor
TF	transfer factor
TF	tuberculin filtrate
TF	tubular fluid
TF	to follow
TFA	total fatty acids(laboratory / chemistry)
TFB	trifascicular block(heart)
TFCA	transfemoral carotid angiography
TFCC	Triangular fibrocartilage complex
TFL	tensor fascia lata
TFS	testicular feminization syndrome
TG	tendon graft
TG	toxic goiter
TGA	transient global amnesia
TGA	transposition of the great artery
TGA	dextrotransposition of great aorta
TGAR	total graft area rejected
TGC	time gain compensation
TGD	thyroglossal duct
TGE	transmissible gastroenteritis (virus of swine)
TGF	transforming growth factor
TGF	tubuloglomerular feedback
TGFA	triglyceride fatty acid
TGT	thromboplastin generation test
TGT	thromboplastin generation time
TGV	thoracic gas volume(in pulmonary function test reports)
TGV	transposition of the great vessels
TH	thyroid hormone(thyroxine)
TH	topical hypothemia
TH	total hysterectomy(operation / gynecology)
THA	total hip arthroplasty
THAE	transhepatic arterial embolization
THC	transhepatic cholangiogram
THC	transplantable hepatocellular carcinoma
THE	transhepatic embolization
THE	tropical hypereosinophilia
THF	thymic humoral factor
THO	titrated water
THR	total hip(joint) replacement
TI	terminal ileum
TI	tibia, complete(congenital absence of limb)
TI	time interval
TI	tricuspid incompetence
TI	tricuspid insufficiency
TIA	transient ischemic attack
TIBC	total iron-binding capacity(laboratory / chemistry)
TIC	trypsin-inhibitory capacity
TID	time interval difference
TID	titrated initial dose
TIE	transient ischemic episode
TIG	tetanus immune globulin
TIL	tumor infiltrating lymphocyte
TIN	tubulointerstitial nephropathy
TIS	tumor in situ
TISS	Therapeutic Intervention Scoring System
TIT	Treponema immobilization test
TIV	trivalent inactivated influenza vaccine
TIVC	thoracic inferior venacava
TJ	tendon jerk
TJ	triceps jerk(neurologic examination)
TJA	total joint arthroplasty
TJR	total joint replacement
TKA	total knee arthroplasty
TKD	tokodynamometer
TKG	tokodynagraph
TKP	thermokeratoplasty
TKR	total knee replacement
TL	temporal lobe
TL	total lipids(laboratory / chemistry)
TL	translaryngeal aspiration
TL	tubal ligation(operation / gynecology)
TLA	translumbar aortogram
TLA	transluminal angioplasty
TLC	thin layer chromatography
TLC	total lung capacity(pulmonary function test)
TLC	total lung compliance(pulmonary function test)
TLD	thoracic lymphatic duct
TLD	tumor lethal dose
TLE	temporal lobe epilepsy
TLE	thin-layer electrophoresis
TLI	total lymphoid irradiation
TLSO	thoracolumbosacral orthosis(brace)
TLV	threshold limit value
TLV	total lung volume(pulmonary function test)
TM	temporomandibular(joint)
TM	transcendental medication
TM	transmetatarsal(foot)
TM	transverse myelitis
TM	tympanic membrane(ear)
TMA	thrombotic microangiopathy
TMA	transmetatarsal amputation(operation / orthopedics)
TMB	transient monocular blindness
TMC	transmural colitis(Crohn's)
TME	transmural enteritis
TMI	transmandibular implant
TMI	transmural infarction
TMIF	tumor cell migration inhibition factor
TMJ	temporomandibular joint
TMJS	temporomandibular joint syndrome
TMST	treadmill stress test
TMT	treadmill Test
TMT	tarsometatarsal
TN	intraocular tension, normal(eye examination)
TN	trigeminal nucleus
TN	trochlear nucleus
TNA	transnasal approach
TNF	tumor necrosis factor
TNG	toxic nodular goiter
TNI	total nodal irradiation
TNM	primary tumor, regional nodes, metastasis
TNS	transcutaneous nerve stimulation
TNTC	too numerous to count(on laboratory reports)
TO	original tuberculin
TO	target organ
TO	tubo-ovarian
TO	telephone order
TOA	tubo-ovarian abscess
TOF	tetralogy of fallot
TOGV	transposition of the great vessel
TOP	termination of pregnancy
TOPV	trivalent oral poliomyelitis vaccine
TORCH	toxoplasmosis, other infections, rubella, cytomegalovirus infection, and herpes simplex
TORP	total ossicular replacement prosthesis
TOS	thoracic outlet syndrome
TP	posterior tibial
TP	temperature and pressure
TP	temporoparietal
TP	threshold potential
TP	thrombocytopenic purpura
TP	thrombophlebitis
TP	tissue pressure
TP	total protein(laboratory / chemistry)
TP	treponema pallidum
TP c/sD	twin premature cesarean section delivery
TP&P	time, place, and person
TPA	tissue polypeptide antigen
TPA	Treponema pallidum agglutination
TPAG	total protein and albumin/globulin
TPBF	total pulmonary blood flow
TPH	transplacental hemorrhage
TPH	thromboembolic pulmonary hypertension
TPI	treponema pallidum-immobilization(test) (laboratory/serology)
TPM	temporary pacemaker
TPM	thrombophlebitis migrans
TPN	total parenteral nutrition(intravenous therapy)
TPR	temperature, pulse, respirations(vital signs)
TPR	total peripheral resistance
TPR	total pulmonary resistance
TPT	typhoid-paratyphoid(vaccine)
TR	total resistance
TR	tubular reabasorption
TR	tricuspid regurgitation
TRAM	transaxillary retromuscular ang. mammoplasty
TRBF	total renal blood flow(renal function test)
TRD	tractional retinal detachment
TRD	transient respiratory distress
TRD	trophoplastic disease
TRF	thyrotropin releasing factor
TRF	T-cell replacing factor
TRH	thyrotropin releasing hormone
TRI	tetrazolium reduction inhibition
TRI	tubuloreticular inclusion
TRIC	trachoma inclusive conjunctivitis
TRP	tubular reabsorption of phosphate(renal function test)
TS	thoracic surgery
TS	tricuspid stenosis(heart)
TSA	total shoulder arthroplasty
TSA	transphenodal approach
TSAH	traumatic subarachnoid hemorrhage
TSD	Tay-Sachs disease
TSH	thyroid stimulating hormone(laboratory/endocrinology)
TSH-RF	thyroid stimulating hormone-releasing factor(laboratory/endocrinology)
TSP	total serum protein
TSR	total shoulder replacement
TSR	toxic shock syndrome
TSR	tropical splenomegaly syndrome
TT	tetanus toxoid
TT	thymol turbidity
TT	transthoracic
TT	tuberculin test
TT	tube thoracotomy
TTA	transtracheal aspiration
TTD	tissue tolerance dose
TTD	total temporary disability
TTP	thrombotic thrombocytopenia purpura
TTS	tarsal tunnel syndrome
TTT	tolbutamide tolerance test
TU	tuberculin units
TUF	transurethral fulguration
TUG	total urinary gonadotropin(laboratory/endocrinology)
TUR	transurethral resection(operation / urology)
TURB	transurethral resection of bladder(operation/urology)
TURP	transurethral resection of prostate
TV	tubulovesicular
TV	talipes varus
TV	thoracic vertebra
TV	tidal volume(pulmonary function test)
TV	trichomonas vaginalis(on bacteriology reports)
TV	tricuspid valve
TVC	timed vital capacity(pulmonaty function test)
TVC	total volume capacity(pulmonary function test)
TVC	triple voiding cystogram(operation / urology)
TVH	total vaginal hysterectomy(operation / gynecology)
TVP	transvesicle prostatectomy
TVP	tricuspid valve prolapse
TVR	tricuspid valve replacement
TVU	total volume urine
TW	tap water
TWA	time-weighted average
TWE	tap water enema(procedure / enema)
TWL	transepidermal water loss
Ta	tantalum
Ta	tarsus
Ta	tarsal amputation
Ta	thoracic aortic aneurysm
Tb	terbium
Tb	tubercle bacillus
TcPO2	transcutaneous oxygen pressure
Td	tetanus and diphtheria
Td	tetanus and diphtheria toxoid, adult type
Te	tetanic contraction
Te	tetanus
Tfm	testicular feminization syndrome
Thal	thalassemia
Ti /TE	inspiratory-expiratory phase time ratio(pulmonary function test)
Tm	melting temperature
Tm	tubular maximum
Tm	maximum tubular clearance
Tmax	time of maximum concentration
Tmg	maximal tubular reabsorption of glucose
Tmg	maximum glucose reabsorptive
To	temperature
Tpe	expiratory pause time(pulmonary function test)
